genre,chroma_stft,chroma_cqt,chroma_cens,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,mfcc,melspectrogram,tonnetz,tempo,tempogram,fourier_tempogram,rms,zero_crossing_rate,spectral_flatness
Classical Music,0.23886867,0.30046624,0.18156876,1345.5253968601362,2042.6988345284112,1938.3216125677245,22.056210758235387,-12.035219,0.25770724,0.08763637154809963,123.046875,0.3070238042960527,(0.41163644+0.0004361797j),0.029363602,0.03943929288409443,2.6414096e-05
Classical Music,0.30038744,0.21020769,0.16371866,1321.0973768728506,2031.0972360785274,2067.470831620066,22.279829766491307,-3.9892344,0.63598824,0.025620061935304438,123.046875,0.30603790508911516,(0.4386791-0.0015195581j),0.052040312,0.034600319877128485,1.3696452e-05
Classical Music,0.41410846,0.49077022,0.23858748,2329.6481979438354,3001.808352854849,4927.036873548762,20.163996910140224,-3.5556238,0.47575113,-0.014035505700574947,123.046875,0.2544235712251914,(0.47141775+0.0009449322j),0.04703796,0.04757227469523994,8.5869375e-05
Classical Music,0.6817318,0.32275453,0.20349796,1039.5570362211474,2014.4803676689364,1992.937948976877,19.270710440422224,-0.11416754,0.9954503,-0.0013504243498170933,143.5546875,0.17408862167354844,(0.50521636+0.0002917568j),0.06929074,0.012469690281540248,1.6461825e-05
Classical Music,0.47283068,0.31203344,0.20306173,923.4413061779696,1462.527994896031,1639.9067503749031,20.566040728802104,-1.7982941,1.2613665,0.004037225708789168,123.046875,0.312797761915802,(0.41260323-0.0004903333j),0.07708534,0.019516888786764705,3.9872725e-06
Classical Music,0.2308506,0.24207412,0.16693877,1419.4405041946566,1736.7797015426859,2541.2679666336107,25.184508666418772,-19.661621,0.035890225,0.12013890752738272,123.046875,0.3129385278487366,(0.41656035-0.00035200806j),0.013052691,0.03823143926567337,1.4621249e-05
Classical Music,0.36493143,0.32824707,0.20276456,1067.1878608683592,1481.8667404628172,1913.988426373839,22.84500539348347,-5.9715776,0.58142096,0.04748686149821072,120.18531976744185,0.31174509427724184,(0.38929126+0.00037422957j),0.052642528,0.031362622145897835,7.635317e-06
Classical Music,0.4020511,0.36696893,0.20631051,396.0076572910722,925.3752742907835,550.9300019349845,19.275291501368123,-10.068788,0.10366186,-0.018415213068905447,126.04801829268293,0.30639262557968117,(0.3177648-0.00039051307j),0.020920582,0.010187391157120742,4.403902e-06
Classical Music,0.38568065,0.32288972,0.21483272,719.8295801541185,1197.7563026502185,1240.9091630587268,23.273929279390348,-7.6998057,0.4079699,0.009186063731855394,166.70866935483872,0.11808060098308944,(0.37755367+0.0013201205j),0.042664118,0.013286389802631578,5.2124105e-06
Classical Music,0.38363764,0.4591128,0.23963661,1602.9133708881952,2450.2274764939602,3138.164357282798,26.225474815740604,-5.9139075,0.41659126,-0.011923473080331867,151.99908088235293,0.22342604792524515,(0.46716875+0.00078936515j),0.043549325,0.03406253023413313,1.6075523e-05
Classical Music,0.39375064,0.29229918,0.19282976,582.5783336947586,1142.4994579483475,731.4289104827786,21.056738371058433,-6.963923,0.5052044,0.01704013476063265,126.04801829268293,0.310922060240064,(0.3382542+0.0020853211j),0.04651574,0.014309815208978328,3.9208903e-06
